#;Etablissement;Categorie;Note Google;Avis;Telephone;Langue du message;Lien WhatsApp;Remarque;Statut contact;Source;Date consultation
1;Cepik Villa Sidemen;3*;4.8;213;+62 822-3773-1818;indonesien;https://wa.me/6282237731818?text=Halo%21%20Saya%20lihat%20Cepik%20Villa%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
2;The Kropak Sidemen;3*;4.7;87;+62 813-3941-4215;indonesien;https://wa.me/6281339414215?text=Halo%21%20Saya%20lihat%20The%20Kropak%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
3;Darmada Eco Resort;3*;4.6;394;+62 853-3803-2100;anglais;https://wa.me/6285338032100?text=Hi%21%20I%20came%20across%20Darmada%20Eco%20Resort.%20The%20photos%20are%20beautiful%2C%20but%20everything%20is%20still%20a%20still%20image.%0A%0AI%20turn%20the%20photos%20already%20on%20your%20listing%20into%20a%2020%20second%20vertical%20video.%20No%20new%20photo%20session%2C%20no%20photographer%20on%20site%2C%20no%20guests%20disturbed.%20It%20works%20as%20the%20Airbnb%20cover%2C%20and%20on%20Reels%20and%20TikTok.%0A%0AHappy%20to%20send%20a%20sample%20visual%20first%2C%20no%20strings.%20Just%20send%2015%20to%2020%20photos%20to%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
4;Natural View House & Restaurant Sidemen;3*;4.5;248;+62 812-4674-7107;indonesien;https://wa.me/6281246747107?text=Halo%21%20Saya%20lihat%20Natural%20View%20House%20%26%20Restaurant%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
5;Surya Shanti Villa Sidemen;4*;4.8;255;+62 856-4528-8463;indonesien;https://wa.me/6285645288463?text=Halo%21%20Saya%20lihat%20Surya%20Shanti%20Villa%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
6;Abian Ayu Villa;4*;4.6;461;+62 813-3875-9172;indonesien;https://wa.me/6281338759172?text=Halo%21%20Saya%20lihat%20Abian%20Ayu%20Villa%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
7;Taman Swarga Villa Resort & Spa;4*;5.0;65;+62 815-5808-2020;indonesien;https://wa.me/6281558082020?text=Halo%21%20Saya%20lihat%20Taman%20Swarga%20Villa%20Resort%20%26%20Spa%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
8;Uma Agung Teras Bali Sidemen;4*;4.3;226;+62 838-5100-1909;indonesien;https://wa.me/6283851001909?text=Halo%21%20Saya%20lihat%20Uma%20Agung%20Teras%20Bali%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;n.d.;A contacter;Google Maps;2026-08-04
9;Pelangi Villas Sidemen;4*;4.3;131;+62 822-3773-1818;indonesien;https://wa.me/6282237731818?text=Halo%21%20Saya%20lihat%20Pelangi%20Villas%20Sidemen%20di%20Google%2C%20fotonya%20bagus%2C%20tapi%20semuanya%20masih%20foto%20diam.%0A%0ASaya%20ubah%20foto%20yang%20sudah%20ada%20di%20listing%20jadi%20video%20vertikal%20sekitar%2020%20detik.%20Tanpa%20sesi%20foto%20baru%2C%20tanpa%20fotografer%20datang%2C%20tanpa%20mengganggu%20tamu.%20Cocok%20untuk%20cover%20Airbnb%2C%20Reels%2C%20dan%20TikTok.%0A%0AKalau%20mau%2C%20saya%20kirim%20satu%20visual%20dulu%2C%20tanpa%20komitmen.%20Cukup%20kirim%2015%20sampai%2020%20foto%20ke%20scipbeylouni%40gmail.com.;Meme numero que Cepik Villa, ne pas contacter deux fois;A contacter;Google Maps;2026-08-04
10;Wapa di Ume Sidemen;5*;4.8;1106;+62 366 5437600;anglais;https://wa.me/623665437600?text=Hi%21%20I%20came%20across%20Wapa%20di%20Ume%20Sidemen.%20The%20photos%20are%20beautiful%2C%20but%20everything%20is%20still%20a%20still%20image.%0A%0AI%20turn%20the%20photos%20already%20on%20your%20listing%20into%20a%2020%20second%20vertical%20video.%20No%20new%20photo%20session%2C%20no%20photographer%20on%20site%2C%20no%20guests%20disturbed.%20It%20works%20as%20the%20Airbnb%20cover%2C%20and%20on%20Reels%20and%20TikTok.%0A%0AHappy%20to%20send%20a%20sample%20visual%20first%2C%20no%20strings.%20Just%20send%2015%20to%2020%20photos%20to%20scipbeylouni%40gmail.com.;Ligne fixe, WhatsApp peu probable;A contacter;Google Maps;2026-08-04
