669 | Aerospace | 5 027,1 Md JPY | FY2024 | https://www.mhi.com/news/25050901.html | Large cap / groupe >1 Md | Oui
670 | Aerospace | 2 160 Md JPY | FY2024 | https://global.kawasaki.com/en/corp/ir/library/financial_results.html | Large cap / groupe >1 Md | Oui
671 | Aerospace | 1 626,8 Md JPY | FY2024 | https://www.ihi.co.jp/en/all_news/2025/ir/__icsFiles/afieldfile/2025/05/08/Financial_results_for_FY2024_IFRS_4.pdf | Large cap / groupe >1 Md | Oui
672 | Aerospace | 4 702,9 Md JPY | FY2023 | https://www.subaru.co.jp/news-en/2024_05_13_160748/ | Large cap / groupe >1 Md | Oui
673 | Aerospace | 2,02 Md USD | 2024 | https://www.koreaherald.com/article/10628008 | Large cap / groupe >1 Md | Oui
674 | Aerospace | 6,82 Md USD | 2024 | https://www.koreaherald.com/article/10628008 | Large cap / groupe >1 Md | Oui
675 | Aerospace | 2,36 Md USD | 2024 | https://www.koreaherald.com/article/10628008 | Large cap / groupe >1 Md | Oui
676 | Aerospace | 29 810 crore INR | FY2024 | https://www.manufacturingtodayindia.com/top10-indias-aerospace-aviation-manufacturers | Large cap / groupe >1 Md | Oui
677 | Aerospace | 20 268 crore INR | FY2024 | https://www.equitymaster.com/research-it/annual-results-analysis/BHEC/BHARAT-ELECTRONICS-2023-24-Annual-Report-Analysis/10930 | Large cap / groupe >1 Md | Oui
678 | Aerospace | 2 442 crore INR | FY2024 | https://stockanalysis.com/quote/nse/BDL/revenue/ | Large cap / groupe >1 Md | Oui
679 | Aerospace | ~44,9 Md USD (défense, 2023) | 2023 | https://defensemirror.com/news/37452/China_s_AVIC_is_World_s_Number_2_Defense_Firm_in_Revenue | Large cap / groupe >1 Md | Oui
680 | Aerospace | n.d. (entreprise d'État non cotée, programme C919) | n.d. | https://en.wikipedia.org/wiki/Comac | Large cap / groupe >1 Md | Oui
681 | Aerospace | n.d. (groupe d'État, ~classé Defense News top 60) | n.d. | https://en.wikipedia.org/wiki/China_Aerospace_Science_and_Technology_Corporation | Large cap / groupe >1 Md | Oui
682 | Aerospace | 6,11 Md USD | 2024 | https://www.investing.com/news/stock-market-news/israel-aerospace-sales-profit-jump-in-2024-during-war-3926257 | Large cap / groupe >1 Md | Oui
683 | Aerospace | 6,8 Md USD | 2024 | https://www.elbitsystems.com/news/elbit-systems-reports-fourth-quarter-and-full-year-2024-results | Large cap / groupe >1 Md | Oui
759 | Aerospace | 6,4 Md USD | 2024 | https://leehamnews.com/2025/02/27/embraer-reports-record-revenue-in-2024-eyes-growth-in-2025/ | Large cap / groupe >1 Md | Oui
760 | Aerospace | 13,0 Md USD | 2024 | https://www.latamairlines.com/us/en/press-room/releases/LATAM-Airlines-Group-closes-a-historic-2024-with-US977-million-in-net-income1 | Large cap / groupe >1 Md | Oui
761 | Aerospace | ~3,51 Md USD | 2024 | https://companiesmarketcap.com/azul/revenue/ | Large cap / groupe >1 Md | Oui
762 | Aerospace | ~3,44 Md USD | 2024 | https://www.prnewswire.com/news-releases/gol-announces-4q24-earnings-result-302414281.html | Large cap / groupe >1 Md | Oui
763 | Aerospace | ~5,4 Md USD (9M 2024 : 3,81 Md USD) | 2024 | https://d1io3yog0oux5.cloudfront.net/_3df46c7b7a949009f8c4bc29fec7ba00/avianca/db/2248/20970/file/250228+-+Q4FY+2024+Press+Release.pdf | Large cap / groupe >1 Md | Oui
764 | Aerospace | 3,44 Md USD | 2024 | https://www.sec.gov/Archives/edgar/data/0001345105/000162828025005509/cpa4q24ex-991.htm | Large cap / groupe >1 Md | Oui
765 | Aerospace | 3 142 M USD | 2024 | https://www.globenewswire.com/news-release/2025/02/24/3031028/0/en/volaris-reports-financial-results-for-the-fourth-quarter-2024-net-income-of-46-million.html | Large cap / groupe >1 Md | Oui
766 | Aerospace | 2 565 M (MXN, est.) | 2024 | https://cdn.investorcloud.net/VivaAerobus/InformacionFinanciera/ReportesTrimestrales/2024-4T24-en.pdf | Mid cap 200M-1Md | Oui
767 | Aerospace | 5,61 Md USD | 2024 | https://stockanalysis.com/stocks/aero/revenue/ | Large cap / groupe >1 Md | Oui
768 | Aerospace | n.d. (résultat net +204,5 M USD 2024 ; CA non publié, est. >1 Md) | 2024 | https://www.infobae.com/economia/2025/08/21/aerolineas-argentinas-registro-una-ganancia-de-271000-millones-en-2024/ | Large cap / groupe >1 Md | Oui
769 | Aerospace | n.d. (est. 100-500 M USD) | n.d. | https://en.wikipedia.org/wiki/Sky_Airline | Mid cap 200M-1Md | Non
770 | Aerospace | ~1,7 Md USD | 2024 | https://www.prnewswire.com/news-releases/asur-reports-1q24-financial-results-302123650.html | Large cap / groupe >1 Md | Oui
771 | Aerospace | ~32 Md MXN (~1,7 Md USD, est.) | 2024 | https://www.globenewswire.com/news-release/2025/02/25/3031645/0/en/Grupo-Aeroportuario-Del-Pacifico-Announces-Results-for-the-Fourth-Quarter-of-2024.html | Large cap / groupe >1 Md | Oui
772 | Aerospace | ~0,80 Md USD | 2024 | https://companiesmarketcap.com/oma-airport/revenue/ | Mid cap 200M-1Md | Oui
773 | Aerospace | 1,78 Md USD | 2024 | https://www.businesswire.com/news/home/20250319783772/en/Corporacion-America-Airports-Reports-Fourth-Quarter-and-Full-Year-2024-Results | Large cap / groupe >1 Md | Oui
849 | Aerospace | 7,6 Md USD | FY2024/25 | https://www.ena.et/web/eng/w/eng_7078809 | Large cap / groupe >1 Md | Oui
850 | Aerospace | n.d. (profits record FY2024/25, CA non chiffré publiquement) | FY2024/25 | https://egyptian-gazette.com/skyward/egyptair-reports-unprecedented-earnings-for-fiscal-year-2024-2025/ | Large cap / groupe >1 Md | Oui
851 | Aerospace | ~20 Md MAD (~2,2 Md USD) | 2024 | https://www.financialafrik.com/en/2025/08/07/royal-air-maroc-breaks-its-records-and-raises-its-ambitions/ | Large cap / groupe >1 Md | Oui
852 | Aerospace | ~394 M USD | 2024 | https://maghrebemergent.news/fr/classement-2024-air-algerie-figure-dans-les-cinq-premieres-compagnies-dafrique/ | Mid cap 200M-1Md | Oui
853 | Aerospace | 188,5 Md KES (~1,45 Md USD) | 2024 | https://airspace-africa.com/2025/03/25/kenya-airways-soars-to-profitability-as-first-annual-profit-in-over-a-decade-signals-a-strong-turnaround/ | Large cap / groupe >1 Md | Oui
854 | Aerospace | ~606,9 M EUR | FY2023/24 | https://newsmoris.com/2024/05/19/air-mauritius-16-2-billion-in-revenue-but-still-floundering/ | Mid cap 200M-1Md | Oui
855 | Aerospace | ~450 M USD (est. 2025 ; perte nette 2024 -123,7 M EUR) | 2024/25 | https://aviationweek.com/air-transport/airlines-lessors/taag-mission-profitability-2028 | Mid cap 200M-1Md | Oui
856 | Aerospace | n.d. (privé ; estimations non fiables) | n.d. | https://centreforaviation.com/data/profiles/airlines/airlink-south-africa-4z | Mid cap 200M-1Md | Non
857 | Aerospace | ~7 Md ZAR (~380 M USD) | FY2024 | https://www.owler.com/company/flysafair | Mid cap 200M-1Md | Oui
858 | Aerospace | 7,9 Md ZAR (~430 M USD) | FY2024/25 | https://acsa.onlinereporting.co.za/group-overview/about-us.php | Mid cap 200M-1Md | Oui
859 | Aerospace | n.d. (entreprise d'État, CA consolidé non publié) | n.d. | https://www.trade.gov/country-commercial-guides/ethiopia-aviation | Mid cap 200M-1Md | Non
860 | Aerospace | n.d. (holding d'État, CA consolidé non publié) | n.d. | https://www.trade.gov/country-commercial-guides/egypt-aviation | Mid cap 200M-1Md | Non
861 | Aerospace | ~21,94 Md KES (~170 M USD) | 2023/24 | https://www.treasury.go.ke/node/419 | Small cap <200M | Non
862 | Aerospace | n.d. (privé, en redressement / business rescue 2025) | n.d. | https://defenceweb.co.za/industry/industry-industry/paramount-industrial-holdings-goes-into-business-rescue/ | Small cap <200M | Non
863 | Aerospace | 1,3 Md ZAR (~70 M USD) | FY2024/25 | https://admin.denel.co.za/uploads/9fab3ff4c20add7abedd96c4986828e5.pdf | Small cap <200M | Non
939 | Aerospace | 21,9 Md AUD (~14,4 Md USD) | FY2024 | https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/2024FY/QAN-FY24-Investor-Presentation.pdf | Large cap / groupe >1 Md | Oui
940 | Aerospace | 6,75 Md NZD | FY2024 | https://www.airnewzealandnewsroom.com/press-release-2024-air-new-zealand-announces-2024-annual-results-and-declares-final-dividend | Large cap / groupe >1 Md | Oui
941 | Aerospace | 5,4 Md AUD | FY2024 | https://www.virginaustralia.com/au/en/newsroom/2024/10/virgin-australia-delivers-strong-fy24-results-driven-ongoing-transformation/ | Large cap / groupe >1 Md | Oui
942 | Aerospace | 637,2 M AUD | FY2024 | https://www.allianceairlines.com.au/docs/default-source/default-document-library/2024-08-28---results-presentation-fy24.pdf | Mid cap 200M-1Md | Oui
943 | Aerospace | ~1,2 Md AUD (est.) | FY2023/24 | https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/financial-statements-for-the-year-ended-30-june-2024/financial-statements-and-notes | Large cap / groupe >1 Md | Oui
944 | Aerospace | 895,5 M NZD | FY2024 | https://corporate.aucklandairport.co.nz/investors/results-and-reports | Mid cap 200M-1Md | Oui
945 | Aerospace | ~1,7 Md AUD | FY2023/24 | https://www.accc.gov.au/system/files/airport-monitoring-report-2024-25.pdf | Large cap / groupe >1 Md | Oui
946 | Aerospace | >1 Md AUD (est.) | FY2023/24 | https://www.accc.gov.au/system/files/airport-monitoring-report-2024-25.pdf | Large cap / groupe >1 Md | Oui
947 | Aerospace | >1 Md AUD (est.) | FY2023/24 | https://www.accc.gov.au/system/files/airport-monitoring-report-2024-25.pdf | Large cap / groupe >1 Md | Oui
948 | Aerospace | ~700 M AUD (est.) | FY2023/24 | https://www.accc.gov.au/system/files/airport-monitoring-report-2024-25.pdf | Mid cap 200M-1Md | Oui
949 | Aerospace | 436,2 M USD | 2024 | https://www.businesswire.com/news/home/20250227056608/en/ | Mid cap 200M-1Md | Oui
950 | Aerospace | 178,6 M AUD | FY2024 | https://announcements.asx.com.au/asxpdf/20250417/pdf/06hv8tcc9ccq41.pdf | Small cap <200M | Non
951 | Aerospace | n.d. (privé, CA non publié ; est. 200-300 M AUD) | n.d. | https://www.owler.com/company/nova-systems | Mid cap 200M-1Md | Non
952 | Aerospace | n.d. (privé, CA non publié) | n.d. | https://www.nioa.com.au/ | Mid cap 200M-1Md | Non
953 | Aerospace | 551 M AUD | FY2024 | https://codan.com.au/wp-content/uploads/2024/08/CODAN-Annual-Report-2024-SPREADS.pdf | Mid cap 200M-1Md | Oui
