594 | Data center / télécom / Software | RMB 10.32 Md | FY2024 | https://investors.gds-services.com/news-releases/news-release-details/gds-holdings-limited-reports-fourth-quarter-and-full-year-2024 | Large cap / groupe >1 Md | Oui
595 | Data center / télécom / Software | n.d. | n.d. | https://en.wikipedia.org/wiki/ST_Telemedia | Mid cap 200M-1Md | Non
596 | Data center / télécom / Software | n.d. | n.d. | https://www.sttelemediagdc.com/ | Mid cap 200M-1Md | Non
597 | Data center / télécom / Software | SGD 6.60 Md | FY2024 | https://www.keppel.com/file/media/2025/Mar/28-mar-kcl/1-keppel-ltd-annual-report-2024.pdf | Large cap / groupe >1 Md | Oui
598 | Data center / télécom / Software | JPY 5 754 Md | FY2024 (mars 2024) | https://news.kddi.com/kddi/corporate/english/ir-news/2024/05/10/7410.html | Large cap / groupe >1 Md | Oui
599 | Data center / télécom / Software | JPY 6 544 Md | FY2024 (mars 2025) | https://www.softbank.jp/en/sbnews/entry/20250508_01 | Large cap / groupe >1 Md | Oui
600 | IA / Numérique | JPY 3 483 Md | FY2024 (mars 2024) | https://www.nec.com/en/global/ir/pdf/library/240426/240426_01.pdf | Large cap / groupe >1 Md | Oui
601 | IA / Numérique | JPY 3 550 Md | FY2024 (mars 2025) | https://pr.fujitsu.com/jp/ir/finance/2024/pdf/en/pm-note.pdf | Large cap / groupe >1 Md | Oui
602 | Data center / télécom / Software | KRW 26 431 Md | FY2024 | https://corp.kt.com/eng/attach/irdata/10811/4Q24_KT_NDR_PT_ENG_FF.pdf | Large cap / groupe >1 Md | Oui
603 | Data center / télécom / Software | KRW 17 941 Md | FY2024 | https://news.sktelecom.com/en/1727 | Large cap / groupe >1 Md | Oui
604 | Data center / télécom / Software | KRW 15 452 Md | FY2024 | https://www.statista.com/statistics/703493/south-korea-lg-uplus-operating-revenue/ | Large cap / groupe >1 Md | Oui
605 | Data center / télécom / Software | INR 1 297 Md (FY24) | FY2024 (mars 2024) | https://www.ril.com/sites/default/files/2024-08/Jio_Factsheet_2024_V2.pdf | Large cap / groupe >1 Md | Oui
606 | Data center / télécom / Software | INR 1 500 Md+ | FY2024 (mars 2024) | https://www.airtel.in/about-bharti/equity/results/annual-results | Large cap / groupe >1 Md | Oui
607 | Énergie | INR 982,8 Md | FY2024 (mars 2024) | https://www.adanienterprises.com/-/media/Project/Enterprises/Investors/Investor-Downloads/Annual-Report/AEL-FY24.pdf | Large cap / groupe >1 Md | Oui
608 | Data center / télécom / Software | INR 209,7 Md | FY2024 (mars 2024) | https://www.tatacommunications.com/press-release/fy24-revenue-reaches-new-milestone-as-data-grows-21-9-percentage | Large cap / groupe >1 Md | Oui
684 | Data center / télécom / Software | USD 47,72 Md | FY2024 | https://www.macrotrends.net/stocks/charts/AMX/america-movil,-sab-de-cv/revenue | Large cap / groupe >1 Md | Oui
685 | Data center / télécom / Software | BRL 55,85 Md | FY2024 | https://stockanalysis.com/stocks/viv/revenue/ | Large cap / groupe >1 Md | Oui
686 | Data center / télécom / Software | BRL 24 Md (est.) | FY2024 | https://www.gruppotim.it/content/dam/gt/investitori/doc---report-finanziari/2024/Annual%20report%202024.pdf | Large cap / groupe >1 Md | Oui
687 | Data center / télécom / Software | ARS 4 137,6 Md | FY2024 | https://www.stocktitan.net/news/TEO/telecom-argentina-s-a-announces-consolidated-annual-results-fy24-and-gd8aag6rgsc1.html | Large cap / groupe >1 Md | Oui
688 | Data center / télécom / Software | CLP 2 764 Md | FY2024 | https://informacioncorporativa.entel.cl/comunicados-de-prensa/entel-cierra-2024-con-utilidades-netas-por-67-mil-millones-y-crecimiento-del-7-4-en-ingresos-totales | Large cap / groupe >1 Md | Oui
689 | Data center / télécom / Software | MXN 11 556 M | FY2024 | https://www.axtelcorp.mx/repositorio/inversionistas/Reportes-Financieros/Q4-2024-ENG.pdf | Mid cap 200M-1Md | Oui
690 | Data center / télécom / Software | USD 1,75 Md | FY2024 | https://companiesmarketcap.com/megacable/revenue/ | Large cap / groupe >1 Md | Oui
691 | Data center / télécom / Software | MXN 62,3 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/912892/000089534525000075/ff4488185_6k-gruposhort.htm | Large cap / groupe >1 Md | Oui
692 | Data center / télécom / Software | BRL 7,75 Md | FY2024 | https://teletime.com.br/26/03/2025/v-tal-tem-receita-de-r-77-bilhoes-em-2024-alta-de-33/ | Large cap / groupe >1 Md | Oui
693 | Data center / télécom / Software | USD 244 M (est.) | 2024/2025 | https://pitchbook.com/profiles/company/434510-74 | Mid cap 200M-1Md | Oui
694 | Data center / télécom / Software | BRL 1 548 M (est.) | FY2024 | https://www.datacenterdynamics.com/br/not%C3%ADcias/ascenty-registra-crescimento-de-54-em-vendas-em-2024/ | Mid cap 200M-1Md | Oui
695 | Data center / télécom / Software | n.d. | n.d. | https://www.bnamericas.com/en/company-profile/cirion-technologies | Mid cap 200M-1Md | Non
696 | Data center / télécom / Software | USD 300 M (est.) | 2024 | https://rocketreach.co/odata-an-aligned-data-centers-company-profile_b55d4895f67c4bd2 | Mid cap 200M-1Md | Oui
697 | Data center / télécom / Software | COP 15 600 Md | FY2024 | https://www.larepublica.co/empresas/claro-y-movistar-las-companias-que-son-lideres-del-sector-de-las-telecomunicaciones-4178236 | Large cap / groupe >1 Md | Oui
698 | Data center / télécom / Software | UYU 45 424 M | FY2024 | https://www.elobservador.com.uy/economia-y-empresas/los-ganancias-millonarias-antel-2024-que-dice-el-balance-n5994458 | Large cap / groupe >1 Md | Oui
774 | Data center / télécom / Software | ZAR 178 Md (service rev.) | FY2024 | https://www.mtn.com/wp-content/uploads/2025/03/MTN-Group-FY-24-results-complete-booklet-HR.pdf | Large cap / groupe >1 Md | Oui
775 | Data center / télécom / Software | ZAR 151 Md | FY2024 (mars 2024) | https://www.vodacom.com/pdf/investor/annual-results/2024/results-booklet.pdf | Large cap / groupe >1 Md | Oui
776 | Data center / télécom / Software | ZAR 43 Md | FY2024 (mars 2024) | https://group.telkom.co.za/documents/ir/financial-information/annual-results-2024/Telkom%20Annual%20Results%20FY2024%20booklet.pdf | Large cap / groupe >1 Md | Oui
777 | Data center / télécom / Software | USD 850 M (est.) | FY2024 (fév. 2024) | https://liquid.tech/investor-centre/financial-results/ | Mid cap 200M-1Md | Oui
778 | Data center / télécom / Software | n.d. | n.d. | https://www.itweb.co.za/article/compcom-greenlights-africa-data-centres-acquisition/JN1gPvOAJPkMjL6m | Mid cap 200M-1Md | Non
779 | Data center / télécom / Software | n.d. | n.d. | https://www.sec.gov/Archives/edgar/data/0001297996/000155837024013620/dlr-20241024xex99d2.htm | Mid cap 200M-1Md | Non
780 | Data center / télécom / Software | USD 60 M | FY2021 (annualisé) | https://dgtlinfra.com/equinix-mainone-data-centers-fiber-africa/ | Small cap <200M | Non
781 | Data center / télécom / Software | n.d. | n.d. | https://www.wiocc.net/ | Small cap <200M | Non
782 | Data center / télécom / Software | n.d. | n.d. | https://paratus.africa/docs/Paratus-Annual-Report-2025-online.pdf | Small cap <200M | Non
783 | Data center / télécom / Software | n.d. | n.d. | https://www.remgro.com/ar2023/report-to-shareholders/infrastructure.php | Small cap <200M | Non
784 | Data center / télécom / Software | KES 349,7 Md | FY2024 (mars 2024) | https://www.safaricom.co.ke/images/Downloads/FY24-Results-Booklet-9-May-2024.pdf | Large cap / groupe >1 Md | Oui
785 | Data center / télécom / Software | EGP 82 Md | FY2024 | https://ir.te.eg/en/CorporateNews/PressRelease/217/FY-2024-Results-Turning-Market-Shifts-into-Growth-Opportunities | Large cap / groupe >1 Md | Oui
786 | Data center / télécom / Software | MAD 36,7 Md | FY2024 | https://www.iam.ma/en/groupe-maroc-telecom/rapports-publications | Large cap / groupe >1 Md | Oui
787 | Data center / télécom / Software | XOF 1 776,4 Md | FY2024 | https://www.brvm.org/sites/default/files/20250221_-_etats_financiers_-_exercice_2024_-_sonatel_sn.pdf | Large cap / groupe >1 Md | Oui
788 | Data center / télécom / Software | USD 1,71 Md | FY2024 | https://www.businesswire.com/news/home/20250318789609/en/IHS-Holding-Limited-Reports-Fourth-Quarter-and-Full-Year-2024-Financial-Results | Large cap / groupe >1 Md | Oui
864 | Data center / télécom / Software | AUD 23,5 Md | FY2024 (juin 2024) | https://www.telstra.com.au/content/dam/tcom/about-us/investors/pdf-g/telstra-annual-report-2024.pdf | Large cap / groupe >1 Md | Oui
865 | Data center / télécom / Software | AUD 5,52 Md | FY2024 (déc. 2024) | https://stockanalysis.com/quote/asx/TPG/revenue/ | Large cap / groupe >1 Md | Oui
866 | Data center / télécom / Software | NZD 3,86 Md | FY2024 (juin 2024) | https://www.spark.co.nz/online/about/our-company/news/Spark-announces-FY24-full-year-results | Large cap / groupe >1 Md | Oui
867 | Data center / télécom / Software | NZD 1,01 Md | FY2024 (juin 2024) | https://company.chorus.co.nz/investors/financial-reports/financial-results-presentations/2024-full-year-financial-results | Large cap / groupe >1 Md | Oui
868 | Data center / télécom / Software | AUD 1,8 Md (est.) | FY2024 | https://en.wikipedia.org/wiki/Vocus_Group | Large cap / groupe >1 Md | Oui
869 | Data center / télécom / Software | AUD 404,3 M | FY2024 (juin 2024) | https://nextdc.com/hubfs/Financial%20Reports/280827%20-%20FY24%20Results%20Announcement.pdf | Mid cap 200M-1Md | Oui
