609 | IA / Numérique | 133,1 Md CNY | FY2024 | https://www.sec.gov/Archives/edgar/data/0001329099/000119312525066199/d853848d20f.htm | Large cap / groupe >1 Md | Oui
610 | IA / Numérique | 105,3 Md CNY | FY2024 | https://www.prnewswire.com/news-releases/netease-announces-fourth-quarter-and-fiscal-year-2024-unaudited-financial-results-302381212.html | Large cap / groupe >1 Md | Oui
611 | IA / Numérique | 23,3 Md CNY | FY2024 | https://eu.36kr.com/en/p/3268187872694656 | Large cap / groupe >1 Md | Oui
612 | IA / Numérique | 105,3 Md CNY | FY2024 | https://www.prnewswire.com/news-releases/netease-announces-fourth-quarter-and-fiscal-year-2024-unaudited-financial-results-302381212.html | Large cap / groupe >1 Md | Oui
613 | IA / Numérique | 3 477 Md JPY | FY2024 (clôture 03/2025) | https://www.nec.com/en/global/ir/pdf/library/250428/250428_01.pdf | Large cap / groupe >1 Md | Oui
614 | IA / Numérique | 3 550 Md JPY | FY2024 (clôture 03/2025) | https://global.fujitsu/-/media/Project/Fujitsu/Fujitsu-HQ/ir/documents/Financial_Results/2024/FY/2024FY-Financial-Summary-en.pdf | Large cap / groupe >1 Md | Oui
615 | IA / Numérique | 10 738 Md KRW | FY2024 | https://www.navercorp.com/api/article/download/966e8489-dc3b-4724-9fd5-39524bdcfe7d | Large cap / groupe >1 Md | Oui
616 | IA / Numérique | 7 870 Md KRW | FY2024 | https://t1.kakaocdn.net/kakaocorp/admin/ir/results-announcement/5777.pdf | Large cap / groupe >1 Md | Oui
617 | IA / Numérique | 13 828 Md KRW | FY2024 | https://www.samsungsds.com/en/news/2024results-250124.html | Large cap / groupe >1 Md | Oui
618 | IA / Numérique | 2 550 Md INR (FY2024) / 2 553 Md INR (FY2025) | FY2025 (clôture 03/2025) | https://companiesmarketcap.com/inr/tata-consultancy-services/revenue/ | Large cap / groupe >1 Md | Oui
619 | IA / Numérique | 1 630 Md INR | FY2025 (clôture 03/2025) | https://www.sec.gov/Archives/edgar/data/0001067491/000106749125000010/exv99w02.htm | Large cap / groupe >1 Md | Oui
620 | IA / Numérique | env. 890 Md INR | FY2025 (clôture 03/2025) | https://www.wipro.com/newsroom/press-releases/2025/wipro-announces-results-for-the-quarter-and-year-ended-march-31-2025/ | Large cap / groupe >1 Md | Oui
621 | IA / Numérique | 1 171 Md INR | FY2025 (clôture 03/2025) | https://www.hcltech.com/sites/default/files/document/open/quarter-results/2025-04/HCLTech-Q4-FY25-Investor-Release.pdf | Large cap / groupe >1 Md | Oui
622 | IA / Numérique | env. 540 Md INR | FY2025 (clôture 03/2025) | https://www.techmahindra.com/insights/press-releases/techmahindra-q4-fy25-results/ | Large cap / groupe >1 Md | Oui
623 | IA / Numérique | env. 800 Md JPY | FY2024 (clôture 09/2024) | https://www.cyberagent.co.jp/en/news/detail/id=30944 | Large cap / groupe >1 Md | Oui
699 | IA / Numérique | 5,38 Md BRL | FY2024 | https://tiinside.com.br/12/02/2025/totvs-registra-receita-liquida-anual-de-r-54-bilhoes/ | Large cap / groupe >1 Md | Oui
700 | IA / Numérique | env. 8 Md BRL (env. 1,4 Md USD, déclaratif, non coté, à croiser) | 2024 | https://www.bnamericas.com/en/features/brazilian-it-multinational-stefanini-raises-investments-revenues-and-ai-stakes | Large cap / groupe >1 Md | Oui
