654 | Naval / Maritime | TWD 332,8 Md | 2023 | https://companiesmarketcap.com/evergreen-marine/revenue/ | Large cap / groupe >1 Md | Oui
655 | Naval / Maritime | TWD 187,4 Md | 2023 | https://stockanalysis.com/quote/tpe/2609/ | Large cap / groupe >1 Md | Oui
656 | Naval / Maritime | TWD 113,9 Md | 2023 | https://stockanalysis.com/quote/tpe/2615/ | Large cap / groupe >1 Md | Oui
657 | Naval / Maritime | USD 3 058 M | 2024 | https://www.tipranks.com/news/company-announcements/sitc-international-holdings-reports-strong-financial-growth-in-2024 | Large cap / groupe >1 Md | Oui
658 | Naval / Maritime | HKD 11 Md+ | 2024 | https://companiesmarketcap.com/china-merchants-port/revenue/ | Large cap / groupe >1 Md | Oui
659 | Naval / Maritime | CNY 15 Md+ | 2024 | https://stockanalysis.com/quote/hkg/2866/ | Large cap / groupe >1 Md | Oui
660 | Naval / Maritime | JPY 2 400 Md+ | FY2024 | https://companiesmarketcap.com/nippon-yusen/revenue/ | Large cap / groupe >1 Md | Oui
661 | Naval / Maritime | JPY 1 700 Md+ | FY2024 | https://companiesmarketcap.com/mitsui-osk-lines/revenue/ | Large cap / groupe >1 Md | Oui
662 | Naval / Maritime | JPY 900 Md+ | FY2024 | https://companiesmarketcap.com/kawasaki-kisen/revenue/ | Large cap / groupe >1 Md | Oui
663 | Naval / Maritime | JPY 1 850 Md+ | FY2024 | https://companiesmarketcap.com/kawasaki-heavy-industries/revenue/ | Large cap / groupe >1 Md | Oui
664 | Naval / Maritime | JPY 500 Md+ (est.) | FY2023 | https://en.wikipedia.org/wiki/Imabari_Shipbuilding | Large cap / groupe >1 Md | Oui
665 | Naval / Maritime | KRW 11 700 Md | 2023 | https://companiesmarketcap.com/hd-hyundai-heavy-industries/revenue/ | Large cap / groupe >1 Md | Oui
666 | Naval / Maritime | KRW 9 360 Md | 2023 | https://companiesmarketcap.com/hanwha-ocean/revenue/ | Large cap / groupe >1 Md | Oui
667 | Naval / Maritime | KRW 8 010 Md | 2023 | https://companiesmarketcap.com/samsung-heavy-industries/revenue/ | Large cap / groupe >1 Md | Oui
668 | Naval / Maritime | RMB 26,5 Md (USD 4,89 Md) | FY2024 | https://www.hellenicshippingnews.com/yangzijiang-shipbuilding-reports-62-y-o-y-increase-in-earnings-of-rmb6-63-mil-for-fy2024/ | Large cap / groupe >1 Md | Oui
744 | Naval / Maritime | USD 486,6 M (R$ ~770 M) | 2023 | https://www.investegate.co.uk/announcement/rns/ocean-wilsons-holdings-ltd---ocn/preliminary-results-for-the-year-ended-31-dec-2023/8101300 | Mid cap 200M-1Md | Oui
745 | Naval / Maritime | R$ 2,9 Md | 2024 | https://datamarnews.com/noticias/santos-brasil-records-net-profit-of-r741-9-million-in-2024/ | Mid cap 200M-1Md | Oui
746 | Naval / Maritime | R$ 2,79 Md | 2024 | https://www.abralog.com.br/noticias/log-in-logistica-integrada-registra-receita-superior-a-r-27-bilhoes-em-2024/ | Mid cap 200M-1Md | Oui
747 | Énergie | R$ 130 Md+ | 2024 | https://stockanalysis.com/quote/bvmf/UGPA3/financials/ | Large cap / groupe >1 Md | Oui
748 | Naval / Maritime | R$ 13,9 Md | 2024 | https://agfeed.com.br/negocios/rumo-fatura-quase-r-14-bi-em-2024-com-mais-transporte-no-agro-e-vai-investir-mais/ | Large cap / groupe >1 Md | Oui
749 | Naval / Maritime | R$ 1,35 Md | 2024 | https://www.investing.com/equities/hidrovias-do-brasil-sa-income-statement | Large cap / groupe >1 Md | Oui
750 | Naval / Maritime | USD 578 M | 2024 | https://www.bairdmaritime.com/tugs/harbour-tugs-and-operation/saam-ends-2024-with-59m-net-income-growth-in-canada-and-brazil-markets | Mid cap 200M-1Md | Oui
751 | Naval / Maritime | n.d. (holding Hapag-Lloyd ; rés. net USD 388 M) | 2024 | https://www.csav.com/investor/csav-cierra-un-positivo-2024-con-utilidades-por-us-3883-millones/ | Mid cap 200M-1Md | Oui
752 | Naval / Maritime | USD ~5 Md (est. groupe) | 2024 | https://www.bnamericas.com/en/company-profile/ultramar-agencia-maritima-ltda | Large cap / groupe >1 Md | Oui
753 | Naval / Maritime | MXN ~60 Md (Q2 24 : 15,2 Md) | 2024 | https://gmxt.mx/en/home/ | Large cap / groupe >1 Md | Oui
754 | Naval / Maritime | MXN 1 970 M | 2024 | https://www.macrotrends.net/stocks/charts/GTMAY/grupo-tmm-sab/revenue | Small cap <200M | Non
755 | Naval / Maritime | n.d. | n.d. | n.d. | Small cap <200M | Non
756 | Quantique | USD 37,5 Md | 2024 | https://www.macrotrends.net/stocks/charts/VALE/vale/revenue | Large cap / groupe >1 Md | Oui
757 | Énergie | R$ ~10 Md (est.) | 2024 | https://transpetro.com.br/ | Large cap / groupe >1 Md | Oui
758 | Énergie | R$ 40 Md+ (consolidé) | 2024 | https://stockanalysis.com/quote/bvmf/CSAN3/financials/ | Large cap / groupe >1 Md | Oui
834 | Naval / Maritime | ZAR 7,4 Md | 2024 | https://www.hellenicshippingnews.com/grindrod-limited-announces-resillient-results-for-the-2024-financial-year/ | Mid cap 200M-1Md | Oui
835 | Naval / Maritime | ZAR 76,7 Md | FY2024 (mars 2024) | https://www.engineeringnews.co.za/article/transnet-volumes-revenue-up-but-falls-short-of-recovery-targets-2024-04-26 | Large cap / groupe >1 Md | Oui
836 | Naval / Maritime | ZAR 10,06 Md | 2024 | https://www.seafoodsource.com/news/business-finance/oceana-group-posts-flat-revenue-drop-in-profit-amid-challenging-drop-in-fish-oil-prices | Mid cap 200M-1Md | Oui
837 | Naval / Maritime | ZAR ~6 Md (est.) | 2024 | https://www.seafoodsource.com/news/business-finance/sea-harvest-group-posts-increased-ebit-and-revenue-despite-difficult-fy-2024 | Mid cap 200M-1Md | Oui
838 | Naval / Maritime | ZAR 64,9 Md | FY2024 (juin 2024) | https://www.moneyweb.co.za/news/companies-and-deals/super-group-revenue-up-profits-down/ | Large cap / groupe >1 Md | Oui
839 | Naval / Maritime | MAD 5,008 Md | 2024 | https://medias24.com/2025/04/30/marsa-maroc-depasse-les-5-mmdh-de-chiffre-daffaires-en-2024/ | Mid cap 200M-1Md | Oui
840 | Naval / Maritime | MAD 11,23 Md (USD 1,21 Md) | 2024 | https://northafricapost.com/86618-tanger-med-group-revenue-up-12-3-in-2024.html | Large cap / groupe >1 Md | Oui
841 | Naval / Maritime | USD 3,99 Md | 2024 | https://www.zawya.com/en/special-coverage/corporate-earnings/suez-canals-revenues-hit-4bln-in-2024-sx5ki5p3 | Large cap / groupe >1 Md | Oui
842 | Naval / Maritime | EGP 6,58 Md | FY2023/24 (juin 2024) | https://en.portnews.ru/news/368630/ | Mid cap 200M-1Md | Oui
