624 | Quantique | 3 256 800 M JPY | FY2024 | https://www.global.toshiba/ww/ir/corporate/library.html | Large cap / groupe >1 Md | Oui
625 | Quantique | 9 783 500 M JPY | FY2024 | https://www.hitachi.com/IR-e/library/annual/index.html | Large cap / groupe >1 Md | Oui
626 | Quantique | 5 522 100 M JPY | FY2024 | https://www.mitsubishielectric.com/en/ir/library/index.html | Large cap / groupe >1 Md | Oui
627 | Data center / télécom / Software | 13 704 600 M JPY | FY2024 | https://group.ntt/en/ir/library/results/ | Large cap / groupe >1 Md | Oui
628 | Data center / télécom / Software | 17 940 000 M KRW | FY2024 | https://www.sktelecom.com/en/about/ir/finance.do | Large cap / groupe >1 Md | Oui
629 | Quantique | 300 870 000 M KRW | FY2024 | https://www.samsung.com/global/ir/financial-information/audit-and-business-report/ | Large cap / groupe >1 Md | Oui
630 | Quantique | 87 730 000 M KRW | FY2024 | https://www.lg.com/global/ir/reports/earnings-release.jsp | Large cap / groupe >1 Md | Oui
631 | Data center / télécom / Software | 862 100 M CNY | FY2024 | https://www.huawei.com/en/annual-report/2024 | Large cap / groupe >1 Md | Oui
632 | Data center / télécom / Software | 528 200 M CNY | FY2024 | https://www.chinatelecom-h.com/en/ir/report.php | Large cap / groupe >1 Md | Oui
633 | IA / Numérique | 996 347 M CNY | FY2025 | https://www.alibabagroup.com/en-US/ir-financial-reports | Large cap / groupe >1 Md | Oui
634 | IA / Numérique | 2 408 930 M INR | FY2024 | https://www.tcs.com/who-we-are/investor-relations/financial-statements | Large cap / groupe >1 Md | Oui
635 | IA / Numérique | 1 536 700 M INR | FY2024 | https://www.infosys.com/investors/reports-filings/annual-report.html | Large cap / groupe >1 Md | Oui
636 | IA / Numérique | 35 521 M INR | FY2024 | https://www.tataelxsi.com/news-and-events/press-releases/tata-elxsi-delivers-13-revenue-growth-in-fy24-ebitda-margin-at-29-5 | Mid cap 200M-1Md | Oui
637 | IA / Numérique | 4 367 200 M JPY | FY2024 | https://www.nttdata.com/global/en/investors/library | Large cap / groupe >1 Md | Oui
