Espagne | Aerospace | Aernnova | https://www.aernnova.com | EUR 986 M | FY2024 | https://www.aernnova.com | Mid cap 200M-1Md | Quasi-leader aérostructures, solide (1 source)
États-Unis | Aerospace | RTX Corporation | https://www.rtx.com | USD 80.7 Md | FY2024 | https://www.macrotrends.net/stocks/charts/RTX/rtx/revenue | Large cap / groupe >1 Md | Leader, CA +17%
États-Unis | Aerospace | Howmet Aerospace | https://www.howmet.com | USD 7.4 Md | FY2024 | https://www.howmet.com/press-release/2025-02-13/howmet-aerospace-reports-fourth-quarter-and-full-year-2024-results/ | Large cap / groupe >1 Md | Leader, CA +12%
États-Unis | Aerospace | HEICO Corporation | https://www.heico.com | USD 3.86 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0000046619/000004661924000109/a10312024ex991earningsrele.htm | Large cap / groupe >1 Md | Leader, CA +30%
États-Unis | Aerospace | Loar Holdings | https://www.loargroup.com | USD 403 M | FY2024 | https://ir.loargroup.com/news-events/press-releases/detail/24/loar-holdings-inc-reports-q4-2024-and-full-year-2024-results-and-upward-revision-to-2025-guidance | Mid cap 200M-1Md | Quasi-leader, CA +27%
États-Unis | Aerospace | Ducommun | https://www.ducommun.com | USD 787 M | FY2024 | https://www.sec.gov/Archives/edgar/data/0000030305/000162828025008397/dcoex99_1q42024earningsrel.htm | Mid cap 200M-1Md | Quasi-leader, CA record
Allemagne | Aerospace | Rheinmetall | https://www.rheinmetall.com | EUR 9.75 Md | FY2024 | https://www.rheinmetall.com/en/media/news-watch/news/2025/03/2025-03-12-rheinmetall-financial-figures-fiscal-year-2024 | Large cap / groupe >1 Md | Leader défense, CA +36%
Allemagne | Aerospace | Lufthansa Technik | https://www.lufthansa-technik.com | EUR 7.44 Md | FY2024 | https://www.lufthansa-technik.com/en/despite-headwinds-lufthansa-technik-continues-to-target-earnings-at-previous-year-s-level-0b2b1004828adaa5 | Large cap / groupe >1 Md | Leader MRO, CA +14%
Autriche | Aerospace | FACC AG | https://www.facc.com | EUR 885 M | FY2024 | https://www.facc.com/en/news/facc-significantly-increases-revenue-and-earnings-in-the-2024-financial-year/ | Mid cap 200M-1Md | Quasi-leader, CA record +20%
Italie | Aerospace | Avio | https://www.avio.com | EUR 442 M | FY2024 | https://www.avio.com/press-release/fy-2024-results | Mid cap 200M-1Md | Quasi-leader spatial, CA +30%
France | Aerospace | Daher | https://www.daher.com | EUR 1.8 Md | FY2024 | https://www.daher.com/uploads/DAHER-RI-2024-FR.pdf | Large cap / groupe >1 Md | Quasi-leader, en croissance (1 source)
France | Aerospace | Latécoère | https://www.latecoere.aero | EUR 706 M | FY2024 | https://www.latecoere.aero/en/latecoere-reports-strong-revenue-growth-for-2024/ | Mid cap 200M-1Md | Quasi-leader, CA +13,4% (1 source)
