États-Unis | Énergie | FirstEnergy | https://www.firstenergycorp.com | USD 13.47 Md | FY2024 | https://www.macrotrends.net/stocks/charts/FE/firstenergy/revenue | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | Énergie | Xcel Energy | https://www.xcelenergy.com | USD 13.44 Md | FY2024 | https://investors.xcelenergy.com/news-events/news-releases/news-details/2025/Xcel-Energy-2024-Year-End-Earnings-Report/default.aspx | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | Entergy | https://www.entergy.com | USD 11.88 Md | FY2024 | https://www.prnewswire.com/news-releases/entergy-reports-2024-financial-results-initiates-2025-guidance-302378704.html | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | PPL Corporation | https://www.pplweb.com | USD 8.46 Md | FY2024 | https://news.pplweb.com/2025-02-13-PPL-Corporation-reports-2024-earnings-results-updates-business-plan-and-extends-growth-targets-through-2028 | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | NiSource | https://www.nisource.com | USD 5.5 Md | FY2024 | https://www.nisource.com/investors | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | Énergie | CenterPoint Energy | https://www.centerpointenergy.com | USD 8.64 Md | FY2024 | https://investors.centerpointenergy.com/news-events/press-releases | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | WEC Energy Group | https://www.wecenergygroup.com | USD 8.60 Md | FY2024 | https://investor.wecenergygroup.com/investors/news-releases/press-release-details/2025/WEC-Energy-Group-posts-2024-results/default.aspx | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | CMS Energy | https://www.cmsenergy.com | USD 7.50 Md | FY2024 | https://s26.q4cdn.com/888045447/files/doc_financials/2024/ar/AnnualReport2024_Full_WEB-ready.pdf | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | DTE Energy | https://www.dteenergy.com | USD 12.5 Md | FY2024 | https://www.globenewswire.com/news-release/2025/02/13/3025769/0/en/DTE-Energy-reports-2024-accomplishments-investments-and-earnings.html | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | Ameren | https://www.ameren.com | USD 7.62 Md | FY2024 | https://www.amereninvestors.com/investors/financial-releases/financial-releases-details/2025/Ameren-Announces-2024-Results-Affirms-Guidance-for-2025-Earnings-and-Issues-Long-Term-Growth-Guidance/default.aspx | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | Edison International | https://www.edison.com | USD 17.60 Md | FY2024 | https://newsroom.edison.com/releases/edison-international-reports-fourth-quarter-and-full-year-2024-results | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | Atmos Energy | https://www.atmosenergy.com | USD 4.18 Md | FY2024 | https://www.atmosenergy.com/about-us/investor-relations | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | Énergie | PG&E Corporation | https://www.pgecorp.com | USD 24.42 Md | FY2024 | https://www.prnewswire.com/news-releases/pge-corporation-delivers-on-guidance-for-full-year-2024-and-updates-2025-earnings-guidance-302375754.html | Large cap / groupe >1 Md | Solide, redevenue bénéficiaire
États-Unis | Énergie | Public Service Enterprise Group (PSEG) | https://www.pseg.com | USD 10.3 Md | FY2024 | https://investor.pseg.com/investor-news-and-events/financial-news/financial-news-details/2025/PSEG-ANNOUNCES-2024-RESULTS/default.aspx | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | Énergie | Vistra | https://www.vistracorp.com | USD 17.2 Md | FY2024 | https://www.prnewswire.com/news-releases/vistra-reports-fourth-quarter-and-full-year-2024-results-302387102.html | Large cap / groupe >1 Md | Solide
États-Unis | Énergie | AES Corporation | https://www.aes.com | USD 12.28 Md | FY2024 | https://www.aes.com/investors | Large cap / groupe >1 Md | Solide (1 source)
