États-Unis | IA / Numérique | Microsoft | https://www.microsoft.com | 245,1 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0000789019/000119312524242888/d815777dars.pdf | Large cap / groupe >1 Md | Solide (2 sources)
États-Unis | IA / Numérique | Alphabet (Google) | https://abc.xyz | 350,0 Md$ | FY2024 | https://abc.xyz/assets/investor/static/pdf/2024Q4_alphabet_earnings_release.pdf | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Meta Platforms | https://www.meta.com | 164,5 Md$ | FY2024 | https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/ | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | NVIDIA | https://www.nvidia.com | 60,9 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000028/q4fy24pr.htm | Large cap / groupe >1 Md | Solide (2 sources)
États-Unis | IA / Numérique | Intel | https://www.intel.com | 53,1 Md$ | FY2024 | https://www.tradingview.com/news/tradingview:2164568861a91:0-intel-corporation-reports-fourth-quarter-and-full-year-2024-financial-results/ | Large cap / groupe >1 Md | Solide, en restructuration (2 sources)
États-Unis | IA / Numérique | Cisco Systems | https://www.cisco.com | 53,8 Md$ | FY2024 | https://www.cisco.com/c/en/us/about/annual-report.html | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Accenture | https://www.accenture.com | 64,9 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001467373/000146737324000266/fy24q4plc8-kexhibit.htm | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Cognizant Technology Solutions | https://www.cognizant.com | 19,7 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001058290/000105829024000115/exhibit992033124.htm | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Micron Technology | https://www.micron.com | 25,1 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0000723125/000072312524000004/a2024q2ex991-pressrelease.htm | Large cap / groupe >1 Md | Solide (2 sources)
États-Unis | IA / Numérique | Texas Instruments | https://www.ti.com | 15,6 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0000097476/000009747624000040/q32024txnex99-er1.htm | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Analog Devices | https://www.analog.com | 9,4 Md$ | FY2024 | https://investor.analog.com/news-releases | Large cap / groupe >1 Md | Solide (2 sources)
États-Unis | IA / Numérique | Marvell Technology | https://www.marvell.com | 5,5 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001835632/000183563224000004/q424_8kx232024ex-991.htm | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Fortinet | https://www.fortinet.com | 5,96 Md$ | FY2024 | https://www.fortinet.com/corporate/about-us/newsroom/press-releases/2025/fortinet-reports-fourth-quarter-full-year-2024-financial-results | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Palo Alto Networks | https://www.paloaltonetworks.com | 8,0 Md$ | FY2024 | https://www.paloaltonetworks.com/company/press/2024/palo-alto-networks-reports-fiscal-fourth-quarter-and-fiscal-year-2024-financial-results | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Roper Technologies | https://www.ropertech.com | 7,04 Md$ | FY2024 | https://www.globenewswire.com/news-release/2025/01/30/3017851/0/en/Roper-Technologies-announces-2024-financial-results.html | Large cap / groupe >1 Md | Solide (2 sources)
États-Unis | IA / Numérique | PTC Inc. | https://www.ptc.com | 2,3 Md$ | FY2024 | https://www.ptc.com/en/news/2024/earnings-results-q4-fy24 | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Tyler Technologies | https://www.tylertech.com | 2,1 Md$ | FY2024 | https://www.tylertech.com/news/tyler-technologies | Large cap / groupe >1 Md | Solide (1 source)
États-Unis | IA / Numérique | Manhattan Associates | https://www.manh.com | 1,04 Md$ | FY2024 | https://ir.manh.com/news-releases | Large cap / groupe >1 Md | Solide (2 sources)
Israël | IA / Numérique | NICE Ltd | https://www.nice.com | 2,74 Md$ | FY2024 | https://www.nice.com/press-releases/nice-reports-25-year-over-year-cloud-revenue-growth-for-the-full-year-2024 | Large cap / groupe >1 Md | Solide (2 sources)
Israël | IA / Numérique | Amdocs | https://www.amdocs.com | 5,0 Md$ | FY2024 | https://www.amdocs.com/news-press/amdocs-limited-files-fiscal-2024-annual-report | Large cap / groupe >1 Md | Solide (2 sources)
Canada | IA / Numérique | Constellation Software | https://www.csisoftware.com | 10,07 Md$ | FY2024 | https://www.csisoftware.com/docs/default-source/press-releases/csi---press-release-q4-2024---final.pdf | Large cap / groupe >1 Md | Solide (2 sources)
Canada | IA / Numérique | Open Text | https://www.opentext.com | 5,8 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001002638/000100263824000049/q4-24pressreleaseexhibit991.htm | Large cap / groupe >1 Md | Solide (1 source)
France | IA / Numérique | Publicis Groupe | https://www.publicisgroupe.com | 13,1 Md€ | FY2024 | https://www.publicisgroupe.com/en/news/press-releases/2024-annual-results | Large cap / groupe >1 Md | Solide (1 source)
Espagne | IA / Numérique | Amadeus IT Group | https://corporate.amadeus.com | 6,14 Md€ | FY2024 | https://corporate.amadeus.com/documents/en/investors/2024/financial-results/q4-2024/fy-2024-results-presentation.pdf | Large cap / groupe >1 Md | Solide (2 sources)
Allemagne | IA / Numérique | Bechtle | https://www.bechtle.com | 6,3 Md€ | FY2024 | https://www.bechtle.com/de-en/about-bechtle/company/investor-relations | Large cap / groupe >1 Md | Solide (1 source)
Royaume-Uni | IA / Numérique | Computacenter | https://www.computacenter.com | 6,9 Md£ | FY2024 | https://investors.computacenter.com/news-releases/news-release-details/computacenter-final-results-2024 | Large cap / groupe >1 Md | Solide (1 source)
Inde | IA / Numérique | Tata Consultancy Services | https://www.tcs.com | 29,1 Md$ | FY2024 | https://www.tcs.com/who-we-are/newsroom/press-release/tcs-q4-fy24-results | Large cap / groupe >1 Md | Solide (2 sources)
Inde | IA / Numérique | Infosys | https://www.infosys.com | 18,6 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001067491/000106749124000034/exv99w01.htm | Large cap / groupe >1 Md | Solide (2 sources)
Inde | IA / Numérique | HCLTech | https://www.hcltech.com | 13,3 Md$ | FY2024 | https://www.hcltech.com/press-releases/hcltech-reports-fy24-revenue-133-billion-54-yoy | Large cap / groupe >1 Md | Solide (1 source)
Inde | IA / Numérique | Wipro | https://www.wipro.com | 10,8 Md$ | FY2024 | https://www.wipro.com/newsroom/press-releases/2024/wipro-q4-fy24-results/ | Large cap / groupe >1 Md | Solide (1 source)
Taïwan | IA / Numérique | TSMC | https://www.tsmc.com | 90,1 Md$ | FY2024 | https://www.sec.gov/Archives/edgar/data/0001046179/000104617925000004/a4q24e_withguidancexfinal.htm | Large cap / groupe >1 Md | Solide (2 sources)
Corée du Sud | IA / Numérique | Samsung Electronics | https://www.samsung.com | KRW 300 900 Md | FY2024 | https://news.samsung.com/global/samsung-electronics-announces-fourth-quarter-and-fy-2024-results | Large cap / groupe >1 Md | Solide (2 sources)
