Corée du Sud | Naval / Maritime | HD Hyundai Heavy Industries | https://www.hhi.co.kr/en | KRW 25 540 Md | FY2024 | https://www.hhi.co.kr/eng/Invest | Large cap / groupe >1 Md | Retour aux bénéfices, super-cycle LNG (1 source)
Corée du Sud | Naval / Maritime | Samsung Heavy Industries | https://www.samsungshi.com/eng/ | KRW 9 900 Md | FY2024 | https://www.imarinenews.com/20846.html | Large cap / groupe >1 Md | Solide, bénéfice op. +115%
Corée du Sud | Naval / Maritime | Hanwha Ocean | https://www.hanwhaocean.com/en/ | KRW 10 800 Md | FY2024 | https://www.hellenicshippingnews.com/korean-shipbuilders-post-45-profit-surge-enter-profitability-super-cycle/ | Large cap / groupe >1 Md | Redressé en 2024, carnet record (1 source)
Chine | Naval / Maritime | China State Shipbuilding (CSSC) | http://www.cssc.net.cn/en/ | CNY 78.58 Md | FY2024 | https://www.imarinenews.com/22399.html | Large cap / groupe >1 Md | Solide, net +22%, fusion en cours (1 source)
Chine | Naval / Maritime | COSCO Shipping Holdings | http://en.hold.coscoshipping.com/ | CNY 233.86 Md | FY2024 | http://en.hold.coscoshipping.com/col/col25402/art/2025/art_62bab154a21547b0a5d2ee0ce9bdfd97.html | Large cap / groupe >1 Md | Solide, net +95%
Chine | Naval / Maritime | COSCO Shipping Energy Transportation | http://en.energy.coscoshipping.com/ | CNY 23.13 Md | FY2024 | https://www.tipranks.com/news/company-announcements/cosco-shipping-energy-reports-revenue-and-profit-growth-for-2024 | Large cap / groupe >1 Md | Solide, profit record (1 source)
Chine | Naval / Maritime | China Merchants Port Holdings | https://www.cmport.com.hk/ | HKD 11.84 Md | FY2024 | https://www.cmport.com.hk/enTouch/investor/Reports.aspx | Large cap / groupe >1 Md | Solide, bénéfice +27%, leader portuaire (1 source)
Hong Kong | Naval / Maritime | SITC International Holdings | https://www.sitc.com/en/ | USD 3.06 Md | FY2024 | https://www.tipranks.com/news/company-announcements/sitc-international-holdings-reports-strong-financial-growth-in-2024 | Large cap / groupe >1 Md | Solide, net +93% (1 source)
Israël | Naval / Maritime | ZIM Integrated Shipping | https://www.zim.com/ | USD 8.43 Md | FY2024 | https://investors.zim.com/news/news-details/2025/ZIM-Reports-Financial-Results-for-the-Fourth-Quarter-and-the-Full-Year-of-2024/default.aspx | Large cap / groupe >1 Md | Solide, net +2,15 Md$
Taïwan | Naval / Maritime | Evergreen Marine | https://www.evergreen-marine.com/ | TWD 463.57 Md | FY2024 | https://www.evergreen-marine.com/tbi1/jsp/TBI1_FinancialInformation.jsp | Large cap / groupe >1 Md | Solide, net triplé (1 source)
Taïwan | Naval / Maritime | Wan Hai Lines | https://www.wanhai.com/ | USD 4.9 Md | FY2024 | https://www.freightwaves.com/news/wan-hai-lines-sees-record-revenue-profit | Large cap / groupe >1 Md | Solide, profit record (1 source)
Taïwan | Naval / Maritime | Yang Ming Marine Transport | https://www.yangming.com/ | USD 6.9 Md | FY2024 | https://phaata.com/en/logistics-market/top-10-shipping-lines-by-revenue-in-2024-61453.html | Large cap / groupe >1 Md | Solide, retour aux bénéfices (1 source)
Corée du Sud | Naval / Maritime | HMM | https://www.hmm21.com/ | KRW 11 700 Md | FY2024 | https://www.hmm21.com/company/newsList.do | Large cap / groupe >1 Md | Solide, profit op. x5, dette 21%
Corée du Sud | Naval / Maritime | Hyundai Glovis | https://www.glovis.net/eng/ | KRW 28 400 Md | FY2024 | https://www.glovis.net/upload/files/2025/03/557745fa-702d-4c2b-89c6-eccb987d6100.pdf | Large cap / groupe >1 Md | Solide, CA +10,6%, maritime +21,6% (1 source)
Corée du Sud | Naval / Maritime | Pan Ocean | https://www.panocean.com/eng/Main | KRW 3 500 Md | FY2024 | https://www.bairdmaritime.com/shipping/pan-ocean-operating-profit-up-60-per-cent-for-q4-2024-company-concerned-about-2025 | Large cap / groupe >1 Md | Solide, profit op. en hausse (1 source)
Japon | Naval / Maritime | Nippon Yusen Kaisha (NYK Line) | https://www.nyk.com/english/ | JPY 2 280 Md | FY2023 | https://www.nyk.com/english/ir/ | Large cap / groupe >1 Md | Solide, big three japonais (1 source)
Japon | Naval / Maritime | Mitsui O.S.K. Lines | https://www.mol.co.jp/en/ | JPY 1 628 Md | FY2024 | https://www.mol.co.jp/en/ir/ | Large cap / groupe >1 Md | Solide (1 source)
Japon | Naval / Maritime | Kawasaki Kisen Kaisha (K Line) | https://www.kline.co.jp/en/ | JPY 757 Md | FY2023 | https://www.kline.co.jp/en/ir.html | Large cap / groupe >1 Md | Solide (1 source)
Émirats arabes unis | Naval / Maritime | DP World | https://www.dpworld.com/ | USD 20.0 Md | FY2024 | https://www.londonstockexchange.com/news-article/91SN/dp-world-reports-2024-revenue-and-ebitda/16938411 | Large cap / groupe >1 Md | Solide, CA record +9,7%
Arabie saoudite | Naval / Maritime | Bahri (National Shipping Co.) | https://www.bahri.sa/en/ | SAR 9.48 Md | FY2024 | https://www.prnewswire.com/news-releases/bahri-reports-fourth-quarter--full-year-2024-results-with-record-revenue-and-net-profit-302365887.html | Large cap / groupe >1 Md | Solide, record net +34%
Malaisie | Naval / Maritime | MISC Berhad | https://www.miscgroup.com/ | MYR 13.24 Md | FY2024 | https://www.miscgroup.com/media/media-releases/misc-group-financial-results-for-the-fourth-quarter-of-2024 | Large cap / groupe >1 Md | Solide, leader gaz/offshore (1 source)
France | Naval / Maritime | Naval Group | https://www.naval-group.com/en | EUR 4.3 Md | FY2024 | https://www.usinenouvelle.com/article/naval-group-a-enregistre-8-milliards-d-euros-de-commande-en-2024.N2229681 | Large cap / groupe >1 Md | Solide, carnet 18 Md€, net 350 M€
Allemagne | Naval / Maritime | thyssenkrupp Marine Systems (TKMS) | https://www.thyssenkrupp-marinesystems.com/ | EUR 2.1 Md | FY2023/24 | https://defence-industry.eu/german-shipbuilder-thyssenkrupp-marine-systems-reports-strong-growth-in-2023-2024-fiscal-year/ | Large cap / groupe >1 Md | Solide, carnet record 16,1 Md€ (1 source)
Pays-Bas | Naval / Maritime | Royal Boskalis | https://boskalis.com/ | EUR 4.4 Md | FY2024 | https://www.dredgingtoday.com/2025/03/06/boskalis-posts-record-breaking-2024-annual-results/ | Large cap / groupe >1 Md | Solide, résultats record, net 781 M€ (1 source)
Pays-Bas | Naval / Maritime | Van Oord | https://www.vanoord.com/ | EUR 2.44 Md | FY2024 | https://windpowernl.com/2025/04/10/van-oord-books-solid-performance-in-2024-after-record-year-2023/ | Large cap / groupe >1 Md | Solide (1 source)
Belgique | Naval / Maritime | DEME Group | https://www.deme-group.com/ | EUR 3.3 Md est. | FY2024 | https://www.dredgingtoday.com/2025/03/24/deme-posts-2024-annual-report-strong-increases-in-turnover-and-profit/ | Large cap / groupe >1 Md | Solide, CA et profit en hausse (CA total à préciser, 1 source)
Luxembourg | Naval / Maritime | Subsea7 | https://www.subsea7.com/ | USD 6.8 Md | FY2024 | https://www.globenewswire.com/news-release/2025/02/27/3033530/0/en/Subsea-7-S-A-Announces-Fourth-Quarter-and-Full-Year-2024-Results.html | Large cap / groupe >1 Md | Solide, EBITDA +53%
Italie | Naval / Maritime | Saipem | https://www.saipem.com/en | EUR 14.55 Md | FY2024 | https://www.saipem.com/en/media/press-releases/2025-02-25/saipem-preliminary-results-fourth-quarter-and-financial-year-2024 | Large cap / groupe >1 Md | Solide, net +70%, carnet 30 Md€
États-Unis | Naval / Maritime | TechnipFMC | https://www.technipfmc.com/ | USD 9.1 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001681459/000168145924000093/technipfmc2024331-8kerex.htm | Large cap / groupe >1 Md | Solide, croissance Subsea
États-Unis | Naval / Maritime | Carnival Corporation | https://www.carnivalcorp.com/ | USD 25.0 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0000815097/000081509724000078/a20244qearningsrelease8-k.htm | Large cap / groupe >1 Md | Solide, CA record, EBITDA +40%
États-Unis | Naval / Maritime | Royal Caribbean Cruises | https://www.royalcaribbeangroup.com/ | USD 16.5 Md | FY2024 | https://www.prnewswire.com/news-releases/royal-caribbean-group-reports-2024-results-issues-2025-guidance-and-announces-launch-of-river-vacations-302361851.html | Large cap / groupe >1 Md | Solide, CA +19%, net +70%
États-Unis | Naval / Maritime | Norwegian Cruise Line Holdings | https://www.nclhltd.com/ | USD 9.5 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001513761/000117184324005927/exh_991.htm | Large cap / groupe >1 Md | Solide, meilleure année de CA (1 source)
États-Unis | Naval / Maritime | International Seaways | https://www.intlseas.com/ | USD 951 M | FY2024 | https://www.businesswire.com/news/home/20250226842749/en/International-Seaways-Reports-Fourth-Quarter-and-Full-Year-2024-Results | Mid cap 200M-1Md | Solide, net 417 M$
Norvège | Naval / Maritime | Frontline plc | https://www.frontlineplc.cy/ | USD 1.9 Md | FY2024 | https://www.frontlineplc.cy/investors/ | Large cap / groupe >1 Md | Solide, tanker (1 source)
États-Unis | Naval / Maritime | Star Bulk Carriers | https://www.starbulk.com/ | USD 1.27 Md | FY2024 | https://www.starbulk.com/media/uploads_file/2025/08/06/p1j20g2s1rv981g6th69nki1u4v4.pdf | Large cap / groupe >1 Md | Solide, marge 24% (1 source)
Norvège | Naval / Maritime | Höegh Autoliners | https://www.hoeghautoliners.com/ | USD 1.371 Md | FY2024 | https://annualreport2024.hoeghautoliners.com/year-2024/financial-information/ | Large cap / groupe >1 Md | Solide, RoRo/car carrier (1 source)
Norvège | Naval / Maritime | DOF Group | https://www.dof.com/ | USD 1.385 Md | FY2024 | https://live.euronext.com/sites/default/files/company_press_releases/attachments_oslo/2025/02/24/639494_DOF_Group_ASA_Financial_Report_Q4_2024.pdf | Large cap / groupe >1 Md | Solide, EBITDA +24%, acq. Maersk Supply (1 source)
Irlande | Naval / Maritime | Irish Continental Group | https://icg.ie/ | EUR 604 M | FY2024 | https://www.globenewswire.com/news-release/2025/03/03/3035250/0/en/Preliminary-Statement-of-Results-for-the-year-ended-31-December-2024.html | Mid cap 200M-1Md | Solide, ferry/RoRo, CA +5,6%
