États-Unis | Quantique | MKS Instruments | https://www.mks.com | USD 3.6 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0001049502/000095017024122391/mksi-ex99_1.htm | Large cap / groupe >1 Md | Vide/photonique/matériaux semi, solide
États-Unis | Quantique | Bruker Corporation | https://www.bruker.com | USD 3.37 Md | FY2024 | https://ir.bruker.com/press-releases/press-release-details/2025/Bruker-Reports-Fourth-Quarter-and-Full-Year-2024-Financial-Results/default.aspx | Large cap / groupe >1 Md | Leader instruments scientifiques, aimants supra/cryogénie
États-Unis | Quantique | KLA Corporation | https://www.kla.com | USD 9.8 Md | FY2024 | https://www.sec.gov/Archives/edgar/data/0000319201/000031920124000024/exhibit991earningsrelease0.htm | Large cap / groupe >1 Md | Leader contrôle process semi-conducteurs
États-Unis | Quantique | Lumentum Holdings | https://www.lumentum.com | USD 1.36 Md | FY2024 | https://www.lumentum.com/en/media-room/news-releases/lumentum-announces-fiscal-fourth-quarter-and-full-year-2024-results | Large cap / groupe >1 Md | Leader photonique/lasers/optique (1 source)
États-Unis | Quantique | Corning Incorporated | https://www.corning.com | USD 13.1 Md | FY2024 | https://investor.corning.com/news-and-events/news/news-details/2025/Corning-Reports-Strong-Fourth-Quarter-and-Full-Year-2024-Financial-Results1-Marking-Successful-First-Year-of-Springboard-Plan/default.aspx | Large cap / groupe >1 Md | Leader matériaux spéciaux/fibre optique
Pays-Bas | Quantique | ASM International | https://www.asm.com | EUR 2.93 Md | FY2024 | https://www.asm.com/investor-relations | Large cap / groupe >1 Md | Quasi-leader équipement dépôt semi (ALD)
Royaume-Uni | Quantique | Spectris plc | https://www.spectris.com | GBP 1.30 Md | FY2024 | https://www.spectris.com/assets/FY24-Results-RNS-v-FINAL.pdf | Large cap / groupe >1 Md | Leader instrumentation de précision
Royaume-Uni | Quantique | Renishaw plc | https://www.renishaw.com | GBP 691 M | FY2024 | https://www.renishaw.com/media/pdf/en/203ba5a174064df7842fcd3bc7cfa349.pdf | Mid cap 200M-1Md | Leader métrologie de précision
Autriche | Quantique | ams OSRAM | https://ams-osram.com | EUR 3.4 Md | FY2024 | https://ams-osram.com/documents/d/ams-osram/annualreport2024 | Large cap / groupe >1 Md | Leader photonique/optoélectronique/capteurs
Allemagne | Quantique | Wacker Chemie | https://www.wacker.com | EUR 5.72 Md | FY2024 | https://reports.wacker.com/2024/annual-report/combined-management-report/earnings.html | Large cap / groupe >1 Md | Leader polysilicium hyperpur (semi) et silicones
Belgique | Quantique | Umicore | https://www.umicore.com | EUR 3.5 Md | FY2024 | https://www.umicore.com/en/media/newsroom/full-year-results-2024/ | Large cap / groupe >1 Md | Leader matériaux avancés/recyclage
Allemagne | Quantique | Messer Group | https://www.messergroup.com | EUR 4.5 Md | FY2024 | https://newsroom.messergroup.com/industrial-gases-specialist-messer-achieves-record-result/ | Large cap / groupe >1 Md | Leader gaz industriels (hélium/cryogénie), non coté
Japon | Quantique | Nippon Sanso Holdings | https://www.nipponsanso-hd.co.jp/en/ | JPY 1 308 Md | FY2024 | https://www.nipponsanso-hd.co.jp/en/ir/ | Large cap / groupe >1 Md | Leader mondial gaz industriels (hélium/cryogénie)
Japon | Quantique | Iwatani Corporation | https://www.iwatani.co.jp/eng/ | JPY 883 Md | FY2024 | https://www.iwatani.co.jp/eng/ir/library/overview-br/files/FY2024/20250514tanshin_e.pdf | Large cap / groupe >1 Md | Leader gaz industriels/hélium Japon
Japon | Quantique | Hamamatsu Photonics | https://www.hamamatsu.com | JPY 211 Md | FY2024 | https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/01_HQ/ir/financial-information/quarterly-financial-reports/h_ir_fr2024-year.pdf | Large cap / groupe >1 Md | Leader photonique/détecteurs (capteurs quantiques)
Japon | Quantique | Shin-Etsu Chemical | https://www.shinetsu.co.jp/en/ | JPY 2 561 Md | FY2024 | https://www.shinetsu.co.jp/wp-content/uploads/2025/07/Financial-Section.pdf | Large cap / groupe >1 Md | Leader mondial wafers silicium/polysilicium semi
Japon | Quantique | SUMCO Corporation | https://www.sumcosi.com/english/ | JPY 397 Md | FY2024 | https://www.sumcosi.com/english/ir/library/datalist.html | Large cap / groupe >1 Md | Quasi-leader wafers silicium 300mm (marché cyclique)
Japon | Quantique | Murata Manufacturing | https://corporate.murata.com | JPY 1 743 Md | FY2024 | https://corporate.murata.com/en-eu/newsroom/news/irnews/irnews/2025/0430 | Large cap / groupe >1 Md | Leader composants électroniques
Japon | Quantique | TDK Corporation | https://www.tdk.com | JPY 2 012 Md | FY2024 | https://www.tdk.com/system/files/2025042801_09YwIctV_en.pdf | Large cap / groupe >1 Md | Leader composants électroniques/matériaux magnétiques
Japon | Quantique | Nikon Corporation | https://www.nikon.com | JPY 717 Md | FY2024 | https://www.nikon.com/company/ir/ir_library/result/pdf/2025/25_1_e.pdf | Large cap / groupe >1 Md | Leader optique/litho/métrologie
Japon | Quantique | Sumitomo Electric Industries | https://sumitomoelectric.com | JPY 4 680 Md | FY2024 | https://sumitomoelectric.com/sites/default/files/2025-05/download_documents/FY2024_results_and_FY2025_forecasts.pdf | Large cap / groupe >1 Md | Leader fibre optique/semi-conducteurs composés (GaN/InP)
Japon | Quantique | Advantest Corporation | https://www.advantest.com | JPY 780 Md | FY2024 | https://www.advantest.com/en/news/2025/ildr5p0000000il7-att/E_FR_FY2024_FN.pdf | Large cap / groupe >1 Md | Leader mondial test semi-conducteurs
Japon | Quantique | Tokyo Electron | https://www.tel.com | JPY 1 830 Md | FY2024 | https://www.tel.com/ir/ | Large cap / groupe >1 Md | Leader équipement de fabrication semi (à croiser)
Chine | Quantique | Han's Laser Technology | https://www.hanslaser.net | CNY 14 771 M | FY2024 | https://www.hanslaser.net/investor | Large cap / groupe >1 Md | Leader laser industriel Asie (à croiser)
Japon | Quantique | Toray Industries | https://www.toray.com | JPY 2 563 Md | FY2024 | https://www.toray.com/ir/pdf/fin/fin_a116.pdf | Large cap / groupe >1 Md | Leader matériaux avancés (fibre de carbone, substrats)
